drug_id,name,smiles,adverse_reaction,reaction_type,severity,source,pubchem_cid,stitch_flat,n_reac
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Abdominal Pain,C0000737,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Gastrointestinal Pain,C0687713,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Amblyopia,C0002418,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Anaemia,C0002871,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Decreased Appetite,C0232462,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Anxiety,C0003467,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Arrhythmia,C0003811,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Asthenia,C0004093,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Atrial Fibrillation,C0004238,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Back Pain,C0004604,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Bronchitis,C0006277,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Cardiovascular Disorder,C0007222,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Chest Pain,C0008031,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Infection,C0009450,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Constipation,C0009806,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Cough,C0010200,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Depression,C0011570,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Diarrhoea,C0011991,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Dizziness,C0012833,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Dysgeusia,C0013378,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Dyspepsia,C0013395,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Dyspnoea,C0013404,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Rash,C0015230,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Dermatitis,C0011603,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Eye Disorder,C0015397,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Body Temperature Increased,C0015967,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Gastritis,C0017152,unknown,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Gastrointestinal Disorder,C0017178,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Headache,C0018681,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Haemorrhage,C0019080,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Haemoglobin,C0518015,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Hypercalcaemia,C0020437,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Hyperkalaemia,C0020461,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Hypersensitivity,C0020517,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Hypertension,C0020538,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Hypotension,C0020649,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Influenza,C0021400,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Muscle Spasms,C0037763,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Melaena,C0025222,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Hypertonia,C0026826,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Nausea,C0027497,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Pain,C0030193,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Palpitations,C0030252,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Parathyroid Disorder,C0030517,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Paraesthesia,C0030554,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Pharyngitis,C0031350,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Pruritus,C0033774,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Renal Failure,C0035078,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Rhinitis,C0035455,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Convulsion,C0036572,unknown,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Sinusitis,C0037199,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Tachycardia,C0039231,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Urinary Tract Infection,C0042029,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Angiopathy,C0042373,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Vertigo,C0042571,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Vomiting,C0042963,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Weight Increased,C0043094,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Weight Decreased,C0043096,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Skin Odour Abnormal,C0234930,unknown,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Oedema Peripheral,C0085649,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Injection Site Reaction,C0151735,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Injury,C3263723,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Impaired Gastric Emptying,C0522063,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Gastric Atony,C0152020,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Myalgia,C0231528,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Musculoskeletal Discomfort,C0948594,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Electrocardiogram Abnormal,C0522055,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Fluid Overload,C0546817,very_common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Insomnia,C0917801,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Muscular Weakness,C0151786,unknown,SIDER+PubChem,10917,CID100000085,71
DRUG_00010917,Carnitine,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,Drug Dependence,C1510472,common,SIDER+PubChem,10917,CID100000085,71
DRUG_00000119,Gamma-Aminobutyric,C(CC(=O)O)CN,Anaphylactic Shock,C0002792,unknown,SIDER+PubChem,119,CID100000119,5
DRUG_00000119,Gamma-Aminobutyric,C(CC(=O)O)CN,Angioedema,C0002994,unknown,SIDER+PubChem,119,CID100000119,5
DRUG_00000119,Gamma-Aminobutyric,C(CC(=O)O)CN,Pain,C0030193,unknown,SIDER+PubChem,119,CID100000119,5
DRUG_00000119,Gamma-Aminobutyric,C(CC(=O)O)CN,Urticaria,C0042109,unknown,SIDER+PubChem,119,CID100000119,5
DRUG_00000119,Gamma-Aminobutyric,C(CC(=O)O)CN,Injection Site Pain,C0151828,unknown,SIDER+PubChem,119,CID100000119,5
DRUG_00000137,5-Aminolevulinic,C(CC(=O)O)C(=O)CN,Anaemia,C0002871,unknown,SIDER+PubChem,137,CID100000137,81
DRUG_00000137,5-Aminolevulinic,C(CC(=O)O)C(=O)CN,Aphasia,C0003537,unknown,SIDER+PubChem,137,CID100000137,81
DRUG_00000137,5-Aminolevulinic,C(CC(=O)O)C(=O)CN,Mental Disorder,C0004936,unknown,SIDER+PubChem,137,CID100000137,81
DRUG_00000137,5-Aminolevulinic,C(CC(=O)O)C(=O)CN,Brain Neoplasm,C0006118,unknown,SIDER+PubChem,137,CID100000137,81
DRUG_00000137,5-Aminolevulinic,C(CC(=O)O)C(=O)CN,Infection,C0009450,unknown,SIDER+PubChem,137,CID100000137,81
DRUG_00000137,5-Aminolevulinic,C(CC(=O)O)C(=O)CN,Diarrhoea,C0011991,unknown,SIDER+PubChem,137,CID100000137,81
DRUG_00000137,5-Aminolevulinic,C(CC(=O)O)C(=O)CN,Oedema,C0013604,common,SIDER+PubChem,137,CID100000137,81
DRUG_00000137,5-Aminolevulinic,C(CC(=O)O)C(=O)CN,Rash,C0015230,unknown,SIDER+PubChem,137,CID100000137,81
DRUG_00000137,5-Aminolevulinic,C(CC(=O)O)C(=O)CN,Dermatitis,C0011603,unknown,SIDER+PubChem,137,CID100000137,81
DRUG_00000137,5-Aminolevulinic,C(CC(=O)O)C(=O)CN,Excoriation,C0015256,common,SIDER+PubChem,137,CID100000137,81
DRUG_00000137,5-Aminolevulinic,C(CC(=O)O)C(=O)CN,Eye Disorder,C0015397,unknown,SIDER+PubChem,137,CID100000137,81
DRUG_00000137,5-Aminolevulinic,C(CC(=O)O)C(=O)CN,Body Temperature Increased,C0015967,unknown,SIDER+PubChem,137,CID100000137,81
DRUG_00000137,5-Aminolevulinic,C(CC(=O)O)C(=O)CN,Gastrointestinal Disorder,C0017178,unknown,SIDER+PubChem,137,CID100000137,81
DRUG_00000137,5-Aminolevulinic,C(CC(=O)O)C(=O)CN,Glioma,C0017638,unknown,SIDER+PubChem,137,CID100000137,81
DRUG_00000137,5-Aminolevulinic,C(CC(=O)O)C(=O)CN,Headache,C0018681,unknown,SIDER+PubChem,137,CID100000137,81
DRUG_00000137,5-Aminolevulinic,C(CC(=O)O)C(=O)CN,Cardiac Disorder,C0018799,unknown,SIDER+PubChem,137,CID100000137,81
DRUG_00000137,5-Aminolevulinic,C(CC(=O)O)C(=O)CN,Hemianopia,C0018979,unknown,SIDER+PubChem,137,CID100000137,81
DRUG_00000137,5-Aminolevulinic,C(CC(=O)O)C(=O)CN,Hemiparesis,C0018989,unknown,SIDER+PubChem,137,CID100000137,81
DRUG_00000137,5-Aminolevulinic,C(CC(=O)O)C(=O)CN,Haemorrhage,C0019080,common,SIDER+PubChem,137,CID100000137,81
DRUG_00000137,5-Aminolevulinic,C(CC(=O)O)C(=O)CN,Haemoglobin,C0518015,common,SIDER+PubChem,137,CID100000137,81
